"""%s"" keywords to find the following results","Từ khóa ""%s"" cho ra các kết quả sau"
"%s tax VAT(VAT = total price books x %s)","%s thuế VAT (thuế Giá trị gia tăng = tổng giá sách x %s)"
"Add field search book","Thêm ô tìm kiếm"
"Asia Commercial Bank (ACB)","Ngân hàng ACB"
"Asia Commercial Bank (ACB) account","Tài khoản tại ACB"
"Account name: Cong ty co phan Ti Ki","Tên tài khoản: công ty cổ phần Ti Ki"
"Account name: Tran Ngoc Thai Son","Tên tài khoản: Trần Ngọc Thái Sơn"
"Account Number","Số tài khoản"
"Amount","Thành tiền"
"Applying the set through Amazon books. Books located at other sites will have different costs.","Áp dụng với sách đặt qua Amazon. Sách đặt tại các site khác sẽ có mức phí khác."
"Author","Tác giả"
"Back to Book Search","Quay lại bước tìm kiếm sách"
"Back to Order review","Quay lại bước xem đơn đặt hàng"
"Back to Search Results","Quay lại bước kết quá tìm được"
"Books delivered to your door <span class=""note"">(7-10 business days)</span>","Sách giao tận nhà <span class=""note"">(7-10 ngày làm việc)</span>"
"Books to search:","Sách cần tìm:"
"Buy this book","Chọn mua cuốn này"
"Can't find a book you're looking for in Vietnam (even Wannabe.com.vn hasn't carried it, yet.)? Now, with our Custom Order feature, you can literally buy millions of English books from oldest to latest ones, specialized, rare or even used books. Find and order almost any English titles in just 3 simple steps. Just try, it takes only 2 minutes.","Cuốn sách bạn cần mua không có tại Việt Nam (cả Wannabe.com.vn cũng chưa có)? Nay bạn đã có thể dễ dàng mua hàng triệu tựa sách ngoại văn từ mới nhất đến cũ nhất, sách chuyên ngành, sách hiếm và thậm chí sách cũ bằng dịch vụ Đặt Sách Giùm Bạn. Chỉ với 3 bước đơn giản, bạn có thể mua bất cứ tựa sách ngoại văn nào chỉ trong 2 phút."
"Change","Thay đổi"
"Check orders","Kiểm tra đơn đặt hàng"
"Click here to contact us","Nhấn vào đây để liên hệ với chúng tôi"
"Continue to Order Review","Tiếp tục"
"Continue to Shipping Information","Tiếp tục"
"Currency USD/VND","Tỉ giá USD/VNĐ"
"Customer information and order","Thông tin khách hàng và đặt hàng"
"Custom Order","ĐẶT SÁCH GIÙM BẠN"
"Delivery Address","Địa chỉ giao hàng"
"Deposit","Đặt cọc"
"Deposited","Đã đặt cọc"
"Deposit (50%)","Đặt cọc (50%)"
"Dong A Bank","Ngân hàng Đông Á"
"Dong A Bank account","Tài khoản tại Đông Á"
"Do not waste time and the postal delivery procedures. Books are delivered to your home.","Không tốn thời gian ra bưu điện nhận hàng và làm thủ tục. Sách được giao đến tận nhà bạn."
"Easy","Dễ dàng"
"Enter book titles, Amazon links, ISBN number or keywords in the textboxes below to search","Gõ tựa sách, link (Amazon), số ISBN hoặc từ khóa của các tựa sách bạn muốn tìm vào các ô tìm kiếm."
"Email Address","Địa chỉ Email"
