"Available Papers for Gift Wrap","Các mẫu gói quà và giấy"
"Gift Wrap","Gói quà"
"Gift Wrap Information","Dịch Vụ Gói Quà Wannabe"
"Options for wrap all in one", "Tuỳ chọn gộp sản phẩm"
"Giftwrap Amount","Giá gói quà"
"In case you want to include a number of dishes can package (not all) into a gift, please indicate in the Notes section before clicking Order","Trường hợp bạn muốn gộp 1 số món có thể gói ( không phải tất cả) vào 1 phần quà, vui lòng ghi rõ trong phần Ghi chú trước khi bấm Đặt hàng"
"Item","Item"
"Items to giftwrap","Các món trong gói quà"
"Loading...","Đang tải..."
"Maximum of this style is ","Số ký tự lời chúc tối đa cho gói quà này là "
"Personal Message","Ghi lời chúc"
"Please wait...","Xin đợi tí..."
"Style Image","Hình mẫu"
"Style Price","Giá gói"
"Style Selection","Chọn kiểu gói"
"There was an error when deleting your giftwrap selection","Có lỗi trong quá trình bạn xoá lựa chọn gói quà"
"There was an error when saving your giftwrap selection","Có lỗi trong quá trình bạn lưu lựa chọn gói quà"
"Type your personal message here","Ghi lời chúc của bạn tại đây"
"Using the service Gift wrap","Có thể gói làm Quà tặng và ghi lời chúc"
"View available papers","Xem tất cả các mẫu gói quà"
"Wrap all available items in cart","Gói tất cả phần tử trong giỏ hàng"
"Wrap all items together","Gộp tất cả sản phẩm có thể gói quà vào 1 phần quà duy nhất."
"Private wrap","Gói riêng"
