"Assign collecting product","Phân công lấy hàng"
"Assign to:", "Giao cho:" 
"update success", "Lưu thành công"
"existed in collecting list", "đã có trong danh mục lấy hàng"
"Please Insert barcode.", "Vui lòng nhập mã vạch của đơn hàng."
"Please choose staff for getting product.", "Vui lòng chọn nhân viên lấy hàng."
"Save", "Lưu"
"save", "Lưu"
"Please input order\'s barcode.", "Vui lòng nhập mã vạch cho đơn hàng."
"Please input product\'s barcode.", "Vui lòng nhập mã vạch cho sản phẩm." 
"Order Barcode:", "Mã vạch của đơn hàng:"
"Items barcode:", "Mã vạch của sản phẩm:"
"Qty:", "Số lượng:"
"Save Times", "Lưu đợt "
"Export Stock", "Xuất Kho"
"Next Order", "Đơn hàng kế tiếp"
" đã có trạng thái đóng gói" , " đã có trạng thái đóng gói"
" chưa xuất kho." , " chưa xuất kho."
" chuyển trạng thái sang đóng gói" , " chuyển trạng thái sang đóng gói"
" đã bị hủy." , " đã bị hủy."
" chưa có trạng thái sắp giao hàng." , " chưa có trạng thái sắp giao hàng."
" đã có trạng thái vận chuyển" , " đã có trạng thái vận chuyển"
" được chuyển sang trạng thái vận chuyển." , " được chuyển sang trạng thái vận chuyển."
" chưa được đóng gói." , " chưa được đóng gói."
" chuyển trạng thái sang sắp giao hàng" , " chuyển trạng thái sang sắp giao hàng"
"Collecting Product", "Điều phối lấy hàng"
"Checked Order", "Kiểm tra đơn hàng"
"Export All", "Xuất kho cho bộ phận đóng gói"
"Export Stock List", "Danh Sách Xuất Kho"
"Packing Product", "Phân công đóng gói"
"Gathering Order", "Bàn giao cho vận chuyển"
"Transporting Order", "Phân công vận chuyển"
"Collecting Manager", "Phân công lấy hàng"
"please choose human for getting book", "Chọn người đi lấy sách"
"Choose human for wrapping book", "Chọn người bao gói"
"Choose human for transporting", "Chọn người vận chuyển"
"order_barcode:", "Mã vạch đơn hàng:"
"canceled","Hủy"
"complete","Thành công"
"Collecting Enought List","Đã phân công lấy hàng"
"Collecting Missing List","Chưa phân công lấy hàng"
"Collect manager","Quản lý lấy hàng"
"Inventory manager","Quản lý kho"
"Exporting Stock Manager","Quản lý xuất kho"
"Transport Manager","Quản lý vận chuyển"
"Received orders to return","Nhận đơn hàng trả về"
"Summarizing delivery","Tổng kết giao hàng"
"Suspension of delivery staff","Nhân viên giao hàng bị tạm ngưng"
"Complete the order","Hoàn thành đơn hàng"
"List of orders assigned to pick up goods","Danh sách các đơn hàng đã phân công lấy hàng"
"List order is not assigned","Danh sách đơn hàng chưa phân công"
"Packing Manager","Phân công bao gói"
"Transport Manager","Phân công giao hàng"
"User Assign","Người phân công"
"Assigned human","Người nhận phân công"
"Assign Date","Ngày phân công"
"Print Date","Ngày in"
"Order ID","Mã đơn hàng"
"Assign Packing list","Đã phân công ép plastic"
"Not Assign Packing list","Chưa phân công ép plastic"
"Gathering List","Danh sách sắp giao hàng"
"Transport List","Danh sách phân công vận chuyển"
"Products List in stock","Danh sách các sản phẩm tồn kho"
"Input Stock","Nhập kho"
"Restocking List","Danh sách cần thu hồi"
"Input Stock Manager","Quản lý nhập kho"
"Input Stock List","Danh mục sản phẩm"
"Complete collecting product","Xác nhận lấy hàng"
"Lookup","Tra Cứu"
"Product in stock list","Danh sách tồn kho"
"Transfer transport","Xuất kho"
"Confirm Transfer","Xác nhận bàn giao"
"Choose human for transport","Chọn người bàn giao"
"Agree","Đồng ý"
"Orders just warehousing","Các đơn hàng vừa xuất kho"
"User Final","Người xác nhận lấy xong"
"Final Date","Ngày xác nhận lấy xong"
"ds da phan cong, nhung chưa xac nhan","Các đơn hàng đã phân công lấy"
"ds da xac nhan lay hang","Các đơn hàng đã xác nhận lấy xong"
"Xac nhan lay xong don hang","Xác nhận lấy xong đơn hàng"
"Nguoi xac nhan","Người xác nhận"
"Ngay xac nhan","Ngày xác nhận"
"Cac don hang da phan cong bao goi","Các đơn hàng đã phân công bao gói"
"Cac don hang da kiem tra","Các đơn hàng đã kiểm tra"
"Ma don hang","Mã đơn hàng"
"Tong Tien","Tổng tiền"
"Nguoi kiem tra","Người kiểm tra"
"Ngay kiem tra","Ngày kiểm tra"
"Pre-order","Đặt trước"
"Wait warehousing","Chờ nhập kho"
"Nhung don hang cho nhap kho","Đơn hàng chờ nhập kho"
"Full product","Đủ hàng"
"Cac don hang cho nhap kho","Các đơn hàng chờ nhập kho"
"loai","Loại đơn hàng"
"Lack of product","Chờ nhập kho"
